20160215113414 Cannot connect to COM1 at 9600
20160215124316 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215124416 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215124516 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215124616 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215124716 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215124816 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215124916 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215202709 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215202809 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215202909 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203009 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203109 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203209 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203309 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203409 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203509 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203609 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203709 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203809 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215203909 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204009 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204109 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204209 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204309 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
20160215204409 AUTOLOG! status: ready, low: , hi: , step: , ifm: , lvl: , obs: 
